2025-04-14 22:36:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 22:36:07 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.444 сек., синхр.=0.100 сек., всего=0.612 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.027 сек., средняя=0.020 сек.; расстояние=2 kB, ожидалось=86 kB; lsn=0/1642538, lsn redo=0/16424E0
2025-04-14 22:46:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 22:46:06 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.447 сек., синхр.=0.099 сек., всего=0.599 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.026 сек., средняя=0.020 сек.; расстояние=2 kB, ожидалось=77 kB; lsn=0/1642EC0, lsn redo=0/1642E68
2025-04-14 22:51:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 22:51:07 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.449 сек., синхр.=0.103 сек., всего=0.653 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.025 сек., средняя=0.021 сек.; расстояние=2 kB, ожидалось=70 kB; lsn=0/16436F8, lsn redo=0/1643668
2025-04-14 22:56:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 22:56:07 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.446 сек., синхр.=0.108 сек., всего=0.609 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.027 сек., средняя=0.022 сек.; расстояние=2 kB, ожидалось=63 kB; lsn=0/1643F40, lsn redo=0/1643EE8
2025-04-14 23:01:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 23:01:06 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.451 сек., синхр.=0.101 сек., всего=0.634 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.027 сек., средняя=0.021 сек.; расстояние=2 kB, ожидалось=57 kB; lsn=0/16447D8, lsn redo=0/1644780
2025-04-14 23:06:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 23:06:07 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.448 сек., синхр.=0.098 сек., всего=0.631 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.027 сек., средняя=0.020 сек.; расстояние=2 kB, ожидалось=51 kB; lsn=0/16450A0, lsn redo=0/1645048
2025-04-14 23:26:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 23:26:07 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.444 сек., синхр.=0.113 сек., всего=0.623 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.060 сек., средняя=0.023 сек.; расстояние=4 kB, ожидалось=47 kB; lsn=0/1646280, lsn redo=0/1646228
2025-04-14 23:31:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 23:31:06 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.444 сек., синхр.=0.102 сек., всего=0.632 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.027 сек., средняя=0.021 сек.; расстояние=3 kB, ожидалось=42 kB; lsn=0/1647008, lsn redo=0/1646FB0
2025-04-14 23:36:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 23:36:07 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.444 сек., синхр.=0.097 сек., всего=0.627 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.027 сек., средняя=0.020 сек.; расстояние=3 kB, ожидалось=38 kB; lsn=0/1647C08, lsn redo=0/1647BB0
2025-04-14 23:41:06 +05 СООБЩЕНИЕ:  начата контрольная точка: time
2025-04-14 23:41:07 +05 СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.774 сек., синхр.=0.159 сек., всего=0.993 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.028 сек., средняя=0.020 сек.; расстояние=4 kB, ожидалось=35 kB; lsn=0/1648CC0, lsn redo=0/1648C68
